category_id,category_name,intent_id,question,answer
1,Attendance and Academic Compliance,C1_Q1,What is the minimum attendance requirement?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,What percentage of attendance is required to continue a course?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,Is there a minimum attendance criteria for students?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,How much attendance is compulsory in a semester?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,What is the required attendance percentage for eligibility?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,Is 75 percent attendance mandatory for all students?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,What attendance level must students maintain?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,What is the attendance requirement per subject?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,Can students attend exams without meeting attendance criteria?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,How much attendance is considered acceptable academically?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q1,Is there a fixed attendance rule for all programs?,Students are required to maintain a minimum of 75% overall attendance and at least 60% attendance in each subject for all programs.
1,Attendance and Academic Compliance,C1_Q2,How is attendance calculated?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,What is the method used to calculate attendance?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,How do universities calculate student attendance?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,Is attendance calculated subject-wise or overall?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,How is attendance percentage determined?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
